SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn200,AudioUrl,UniqueNames
fs1,186,conc avg feat all (zscore),58,1,2020,3,10,14,0,20200310_140000.WAV,0.46963,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200310_140000.WAV,yat1_20200310_140000
fs1,186,conc avg feat all (zscore),178,1,2020,3,30,14,0,20200330_140000.WAV,0.4662,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200330_140000.WAV,yat1_20200330_140000
fs1,186,conc avg feat all (zscore),179,1,2020,3,30,18,0,20200330_180000.WAV,0.46479,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200330_180000.WAV,yat1_20200330_180000
fs1,186,conc avg feat all (zscore),173,1,2020,3,29,18,0,20200329_180000.WAV,0.46415,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200329_180000.WAV,yat1_20200329_180000
fs1,186,conc avg feat all (zscore),65,1,2020,3,11,18,0,20200311_180000.WAV,0.46248,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_180000.WAV,yat1_20200311_180000
fs1,186,conc avg feat all (zscore),109,1,2020,3,19,2,0,20200319_020000.WAV,0.46173,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200319_020000.WAV,yat1_20200319_020000
fs1,186,conc avg feat all (zscore),143,1,2020,3,24,18,0,20200324_180000.WAV,0.46107,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200324_180000.WAV,yat1_20200324_180000
fs1,186,conc avg feat all (zscore),20,1,2020,3,4,6,0,20200304_060000.WAV,0.46079,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_060000.WAV,yat1_20200304_060000
fs1,186,conc avg feat all (zscore),186,1,2020,3,31,22,0,20200331_220000.WAV,0.45789,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200331_220000.WAV,yat1_20200331_220000
fs1,186,conc avg feat all (zscore),84,1,2020,3,14,22,0,20200314_220000.WAV,0.45778,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200314_220000.WAV,yat1_20200314_220000
